Date of Observation;Value-Weighted Return-incl. dividends
30.06.1992;-0,0192581
31.07.1992;0,03989972
31.08.1992;-0,02081892
30.09.1992;0,01246087
30.10.1992;0,01098284
30.11.1992;0,04018138
31.12.1992;0,01773988
29.01.1993;0,01261561
26.02.1993;0,005425406
31.03.1993;0,02508918
30.04.1993;-0,02539078
28.05.1993;0,02957208
30.06.1993;0,005434345
30.07.1993;-0,000806053
31.08.1993;0,03949608
30.09.1993;0,00062873
29.10.1993;0,01805087
30.11.1993;-0,01760046
31.12.1993;0,01955422
31.01.1994;0,03145912
28.02.1994;-0,02420685
31.03.1994;-0,04579461
29.04.1994;0,009494642
31.05.1994;0,009352694
30.06.1994;-0,02788023
29.07.1994;0,03065685
31.08.1994;0,04262911
30.09.1994;-0,01833769
31.10.1994;0,01452095
30.11.1994;-0,03720637
30.12.1994;0,01258029
31.01.1995;0,02035284
28.02.1995;0,03964723
31.03.1995;0,02706417
28.04.1995;0,02504814
31.05.1995;0,03390857
30.06.1995;0,03114183
31.07.1995;0,04080114
31.08.1995;0,009299567
29.09.1995;0,0363538
31.10.1995;-0,01133864
30.11.1995;0,04277108
29.12.1995;0,0151922
31.01.1996;0,02812132
29.02.1996;0,01635263
29.03.1996;0,01091408
30.04.1996;0,02555989
31.05.1996;0,02681042
28.06.1996;-0,008289339
31.07.1996;-0,05385131
30.08.1996;0,03245126
30.09.1996;0,05298465
31.10.1996;0,01367287
29.11.1996;0,06559445
31.12.1996;-0,01138069
31.01.1997;0,05347315
28.02.1997;-0,001067177
31.03.1997;-0,04488869
30.04.1997;0,04239622
30.05.1997;0,07163975
30.06.1997;0,04408094
31.07.1997;0,07651265
29.08.1997;-0,03632338
30.09.1997;0,05845334
31.10.1997;-0,03443276
28.11.1997;0,0303537
31.12.1997;0,01782156
30.01.1998;0,004511318
27.02.1998;0,07332072
31.03.1998;0,05127261
30.04.1998;0,01092424
29.05.1998;-0,02574616
30.06.1998;0,03183892
31.07.1998;-0,02337719
31.08.1998;-0,1578597
30.09.1998;0,06381392
30.10.1998;0,0744056
30.11.1998;0,06200107
31.12.1998;0,063058
29.01.1999;0,03844676
26.02.1999;-0,03808261
31.03.1999;0,03792547
30.04.1999;0,04909202
28.05.1999;-0,02070776
30.06.1999;0,05082348
30.07.1999;-0,03083348
31.08.1999;-0,009918442
30.09.1999;-0,02266901
29.10.1999;0,06210727
30.11.1999;0,03682224
31.12.1999;0,08374451
31.01.2000;-0,03962196
29.02.2000;0,03176028
31.03.2000;0,05349902
28.04.2000;-0,05951859
31.05.2000;-0,03886261
30.06.2000;0,05157642
31.07.2000;-0,01767925
31.08.2000;0,07498378
29.09.2000;-0,05115439
31.10.2000;-0,02448012
30.11.2000;-0,1023654
29.12.2000;0,02044955
31.01.2001;0,03957307
28.02.2001;-0,09908441
30.03.2001;-0,07040808
30.04.2001;0,08383428
31.05.2001;0,01044186
29.06.2001;-0,01756081
31.07.2001;-0,0182836
31.08.2001;-0,05897984
28.09.2001;-0,09149703
31.10.2001;0,02784657
30.11.2001;0,07878883
31.12.2001;0,01785354
31.01.2002;-0,01596615
28.02.2002;-0,02169973
28.03.2002;0,04469836
30.04.2002;-0,04960013
31.05.2002;-0,01050955
28.06.2002;-0,07025918
31.07.2002;-0,08112463
30.08.2002;0,007948902
30.09.2002;-0,09992281
31.10.2002;0,07493966
29.11.2002;0,06128161
31.12.2002;-0,05333441
31.01.2003;-0,02336659
28.02.2003;-0,01541721
31.03.2003;0,01032112
30.04.2003;0,08276761
30.05.2003;0,06347126
30.06.2003;0,01634584
31.07.2003;0,02311219
29.08.2003;0,02496536
30.09.2003;-0,009120235
31.10.2003;0,06036079
28.11.2003;0,0165941
31.12.2003;0,04547639
30.01.2004;0,02304194
27.02.2004;0,01544306
31.03.2004;-0,01066161
30.04.2004;-0,02422193
28.05.2004;0,01406833
30.06.2004;0,02161092
30.07.2004;-0,03769767
31.08.2004;0,002702883
30.09.2004;0,02055616
29.10.2004;0,01780559
30.11.2004;0,04821379
31.12.2004;0,03516972
31.01.2005;-0,02654589
28.02.2005;0,0226461
31.03.2005;-0,01694364
29.04.2005;-0,02520629
31.05.2005;0,037954
30.06.2005;0,01152899
29.07.2005;0,04335747
31.08.2005;-0,005958293
30.09.2005;0,01059976
31.10.2005;-0,02086558
30.11.2005;0,04032636
30.12.2005;0,003457628
31.01.2006;0,04007189
28.02.2006;-0,001638828
31.03.2006;0,01906455
28.04.2006;0,01300004
31.05.2006;-0,03103197
30.06.2006;-0,00039055
31.07.2006;-0,001911548
31.08.2006;0,02504146
29.09.2006;0,01942518
31.10.2006;0,03715301
30.11.2006;0,02373648
29.12.2006;0,01085692
31.01.2007;0,0193868
28.02.2007;-0,014006
30.03.2007;0,01295354
30.04.2007;0,03983381
31.05.2007;0,03895336
29.06.2007;-0,014747
31.07.2007;-0,03178957
31.08.2007;0,01159279
28.09.2007;0,04082203
31.10.2007;0,02591044
30.11.2007;-0,04936184
31.12.2007;-0,004405197
31.01.2008;-0,06221771
29.02.2008;-0,02169688
31.03.2008;-0,01044434
30.04.2008;0,05119902
30.05.2008;0,02393505
30.06.2008;-0,07843585
31.07.2008;-0,01341312
29.08.2008;0,01059709
30.09.2008;-0,09817162
31.10.2008;-0,1848333
28.11.2008;-0,08468071
31.12.2008;0,02223226
30.01.2009;-0,07747075
27.02.2009;-0,100166
31.03.2009;0,08680325
30.04.2009;0,1094663
29.05.2009;0,06778672
30.06.2009;-0,003018837
31.07.2009;0,0817797
31.08.2009;0,0315102
30.09.2009;0,04528079
30.10.2009;-0,02807201
30.11.2009;0,05707459
31.12.2009;0,02847517
29.01.2010;-0,03717235
26.02.2010;0,03474387
31.03.2010;0,06366803
30.04.2010;0,02003624
28.05.2010;-0,07923969
30.06.2010;-0,05077973
30.07.2010;0,0703599
31.08.2010;-0,04286375
30.09.2010;0,09162777
29.10.2010;0,03859146
30.11.2010;0,005116644
31.12.2010;0,06718174
31.01.2011;0,01918334
28.02.2011;0,03815552
31.03.2011;0,003340838
29.04.2011;0,02859679
31.05.2011;-0,01494771
30.06.2011;-0,01844716
29.07.2011;-0,0225342
31.08.2011;-0,05756398
30.09.2011;-0,0849827
31.10.2011;0,1141459
30.11.2011;-0,006270024
30.12.2011;0,003675778
31.01.2012;0,05410639
29.02.2012;0,04122525
30.03.2012;0,02402032
30.04.2012;-0,006828595
31.05.2012;-0,06559022
29.06.2012;0,03815087
31.07.2012;0,01030725
